DeviceId,"Explanation.explanation","Explanation.durationMs"
"a88d9f46-6b15-4d2f-bb82-1e957629bfa1","USER_COUNT_EXPLANATION_SHORT",2733
"a88d9f46-6b15-4d2f-bb82-1e957629bfa1","USER_COUNT_EXPLANATION_LONG",2706
"b4b42db6-61ae-4aa4-abaf-22a38a2e30d6","USER_COUNT_EXPLANATION_SHORT",1941
"b4b42db6-61ae-4aa4-abaf-22a38a2e30d6","USER_COUNT_EXPLANATION_LONG",1938
"b4b42db6-61ae-4aa4-abaf-22a38a2e30d6","USER_COUNT_EXPLANATION_SHORT",4794
"a1d37e52-263b-4c08-9947-5381c4e04e77","USER_COUNT_EXPLANATION_SHORT",5178
"f8030929-b4cd-4599-9e10-cf654dc076b7","USER_COUNT_EXPLANATION_SHORT",4812
"7a3116c8-e5c5-47f7-a529-34ea14c12d3b","USER_COUNT_EXPLANATION_SHORT",6981
"7a3116c8-e5c5-47f7-a529-34ea14c12d3b","USER_COUNT_EXPLANATION_LONG",6952
"112d68a4-ad2d-45cd-9148-6ac324417643","USER_COUNT_EXPLANATION_SHORT",7134
"0ea05fce-1179-4e27-909a-0607a12fa365","USER_COUNT_EXPLANATION_SHORT",9285
"0ea05fce-1179-4e27-909a-0607a12fa365","USER_COUNT_EXPLANATION_LONG",9272
"421f877b-cf44-475e-a90d-455085414132","USER_COUNT_EXPLANATION_SHORT",4489
"83473978-3220-4805-a03e-0b017d29512f","USER_COUNT_EXPLANATION_SHORT",7724
"83473978-3220-4805-a03e-0b017d29512f","USER_COUNT_EXPLANATION_LONG",7710
"8f39b5d0-4404-4e4d-a0d3-539b5de3db28","USER_COUNT_EXPLANATION_SHORT",2385
"8f39b5d0-4404-4e4d-a0d3-539b5de3db28","USER_COUNT_EXPLANATION_SHORT",608
"17cfc428-cc09-4f46-b0fb-be1e2dd0a7b8","USER_COUNT_EXPLANATION_SHORT",9197
"e229e9e0-6efb-402c-aecd-f06e7e79242b","USER_COUNT_EXPLANATION_SHORT",2052
"b2ea6cde-a7ad-451f-9d28-d065492e4f4a","USER_COUNT_EXPLANATION_SHORT",10303
"b2ea6cde-a7ad-451f-9d28-d065492e4f4a","USER_COUNT_EXPLANATION_LONG",10299
"97b3525e-48b0-406e-ac97-5be3cb7fba5a","USER_COUNT_EXPLANATION_SHORT",3436
"1251a7ab-441f-400b-b063-92edf6bfbc29","USER_COUNT_EXPLANATION_SHORT",2839
"1251a7ab-441f-400b-b063-92edf6bfbc29","USER_COUNT_EXPLANATION_SHORT",3611
"1251a7ab-441f-400b-b063-92edf6bfbc29","USER_COUNT_EXPLANATION_LONG",3609
"1fb3d29b-39a0-4a87-971c-5e705d776792","USER_COUNT_EXPLANATION_SHORT",16234
"1fb3d29b-39a0-4a87-971c-5e705d776792","USER_COUNT_EXPLANATION_LONG",16230
"9cbdf095-d862-4e56-8c54-e970fed9b86f","USER_COUNT_EXPLANATION_SHORT",9017
"9cbdf095-d862-4e56-8c54-e970fed9b86f","USER_COUNT_EXPLANATION_LONG",9004
"22ade263-e755-49b8-bb53-84368d263d0a","USER_COUNT_EXPLANATION_SHORT",35191
"22ade263-e755-49b8-bb53-84368d263d0a","USER_COUNT_EXPLANATION_LONG",35147
"d47c3739-9c77-4c7b-9ab4-842c9b24353d","USER_COUNT_EXPLANATION_SHORT",5782
"ded0de90-dcdb-48b3-94ae-70ed45d0ca6f","USER_COUNT_EXPLANATION_SHORT",14158
"ded0de90-dcdb-48b3-94ae-70ed45d0ca6f","USER_COUNT_EXPLANATION_LONG",14148
"f6b0ec57-d063-4870-95f6-adb1b4c4f5d8","USER_COUNT_EXPLANATION_SHORT",3227
"f6b0ec57-d063-4870-95f6-adb1b4c4f5d8","USER_COUNT_EXPLANATION_SHORT",8543
"e0abc845-d264-4e60-b0ef-224751244055","USER_COUNT_EXPLANATION_SHORT",2293
"00b97077-87f2-4142-b187-b61615b088bd","USER_COUNT_EXPLANATION_SHORT",7930
"e15cab34-4f8c-4228-b4d2-a8ab8fe115ce","USER_COUNT_EXPLANATION_SHORT",5591
"e15cab34-4f8c-4228-b4d2-a8ab8fe115ce","USER_COUNT_EXPLANATION_LONG",5583
"0d44e6f4-5ff8-489e-b795-d83f40c05235","USER_COUNT_EXPLANATION_SHORT",5770
"48908c72-fa9a-47f9-ae33-ca105a8eaca9","USER_COUNT_EXPLANATION_SHORT",10638
"48908c72-fa9a-47f9-ae33-ca105a8eaca9","USER_COUNT_EXPLANATION_LONG",10626
"ad9e0010-0094-42cf-87f5-c14f28834e4e","USER_COUNT_EXPLANATION_SHORT",5508
"ad9e0010-0094-42cf-87f5-c14f28834e4e","USER_COUNT_EXPLANATION_LONG",5495
"d60204da-fd1e-41f9-baa7-619450670c89","USER_COUNT_EXPLANATION_SHORT",7631
"577403dc-3dda-4cfd-b285-43fa572147af","USER_COUNT_EXPLANATION_SHORT",6716
"577403dc-3dda-4cfd-b285-43fa572147af","USER_COUNT_EXPLANATION_LONG",6706
